joint,x,y,z
10,373.3582,-83.3613,1297.1814
11,210.11539,-428.71277,1406.1895
12,376.37015,-400.93387,1292.5898
13,263.01874,-745.5452,1466.2687
14,363.02695,-741.7855,1383.1542
0,292.91196,428.00507,1416.2668
1,316.23004,269.92416,1370.9491
2,192.30826,269.25238,1423.2119
3,440.15182,270.59592,1318.6863
4,162.81993,140.35808,1214.6101
5,490.33237,71.36755,1271.486
6,278.7305,266.7259,1069.717
7,315.30878,120.34796,1072.7507
8,309.7675,92.16932,1353.3407
9,230.88187,-85.97812,1366.276
10,375.728,-85.19292,1305.1886
11,217.47003,-428.93118,1404.7462
12,400.27475,-379.53308,1277.0421
13,260.9063,-744.6875,1465.2927
14,365.62283,-747.574,1385.747
0,294.8423,426.08984,1415.8091
1,322.17563,271.6031,1363.4609
2,202.3586,274.27487,1406.9185
3,441.99265,268.93134,1320.0034
4,160.35846,180.62488,1194.895
5,475.14044,65.671295,1291.6318
6,230.80872,287.04553,937.6406
7,318.23926,126.22419,1070.7349
8,312.7537,91.61163,1348.5496
9,230.59258,-86.75784,1360.0206
10,376.07095,-90.00183,1307.2557
11,220.86299,-432.4454,1410.1503
12,396.68646,-382.27448,1273.7318
13,258.7937,-742.0524,1465.0221
14,368.44684,-754.52057,1387.6528
0,312.6979,376.193,1424.2678
1,331.843,260.02243,1347.9724
2,213.76611,268.4002,1374.0563
3,449.91986,251.64468,1321.8885
4,203.31331,183.53738,1177.6417
5,473.59967,52.271286,1282.2686
6,202.20453,276.9336,928.4162
7,319.69977,137.79932,1094.0824
8,317.7661,84.97939,1340.4702
9,229.95132,-84.83182,1349.2572
10,377.42715,-95.29549,1316.6788
11,217.7161,-426.228,1396.5243
12,396.73398,-384.5326,1279.3329
13,248.50606,-741.059,1462.1682
14,379.45575,-753.90894,1397.5449
0,314.11102,389.95068,1420.6046
1,334.84564,252.95453,1344.8586
2,214.92984,262.04388,1370.5095
3,454.76144,243.86516,1319.2078
4,217.98637,186.96742,1197.7316
5,474.93616,48.213333,1272.1051
6,171.33371,256.35217,917.64026
7,315.15805,144.31631,1110.8972
8,321.12628,75.5966,1343.5684
9,232.20874,-96.061455,1358.3635
10,382.6051,-107.46119,1326.1926
11,213.63683,-414.68417,1387.5073
12,416.17932,-455.55026,1278.9138
13,246.88684,-733.484,1451.017
14,398.9437,-779.46906,1378.4788
0,313.74158,401.97705,1418.0144
1,335.7818,250.96692,1345.1506
2,216.61765,261.36047,1368.0282
3,454.94592,240.57338,1322.2731
4,213.96028,183.31332,1235.682
5,475.1896,47.224594,1271.9519
6,149.08656,242.93019,900.7311
7,296.99963,151.12796,1128.8888
8,319.6361,73.52248,1341.6664
9,232.63654,-97.742065,1351.7849
10,374.3443,-110.10187,1324.5793
11,214.02711,-402.63095,1402.9806
12,413.127,-457.79257,1275.7076
13,247.79668,-747.34186,1454.6263
14,402.31088,-781.60376,1377.6719
0,327.8883,412.03232,1416.8629
1,336.83167,252.10556,1350.3999
2,214.68129,262.80246,1371.5325
3,458.982,241.40869,1329.2673
4,213.90833,181.40314,1233.9486
5,473.4435,57.761963,1258.0681
6,126.19632,228.50177,890.24866
7,259.94388,162.75987,1126.3551
8,320.33282,75.53561,1344.4097
9,232.27,-94.76739,1350.8003
10,375.398,-107.30132,1326.0386
11,211.32805,-408.12207,1405.7798
12,407.9959,-455.7289,1275.4517
13,247.54987,-754.96796,1464.0293
14,398.26917,-779.20337,1379.6672
0,342.98203,423.35913,1410.8958
1,338.92032,266.73032,1371.3093
2,219.85922,274.99088,1406.043
3,457.98138,258.46976,1336.5757
4,202.04964,175.7845,1195.6415
5,476.2659,71.23741,1269.2461
6,110.08293,202.79578,890.34686
7,253.77452,180.13852,1133.2854
8,322.16153,81.15041,1357.9988
9,235.14015,-99.554596,1365.1859
10,375.66534,-109.30437,1324.1906
11,214.61343,-411.33704,1408.683
12,410.43173,-459.2044,1287.3765
13,251.34961,-760.7976,1477.7512
14,395.94556,-782.29553,1392.0964
0,348.615,428.80286,1405.244
1,349.98434,277.86917,1392.2527
2,235.95511,285.82974,1434.9675
3,464.01358,269.9086,1349.5378
4,189.93848,180.76755,1197.3567
5,484.3239,82.18039,1279.2942
6,94.580894,180.01212,882.2687
7,277.92767,174.33713,1286.7681
8,329.0733,90.393196,1371.3687
9,239.94296,-92.32028,1376.0393
10,376.38156,-101.84529,1324.9299
11,218.58191,-408.74316,1419.6288
12,401.56766,-433.30188,1282.6213
13,257.7068,-763.7533,1491.0527
14,388.50525,-801.84717,1396.1261
0,347.5049,427.7469,1404.8702
1,353.67395,280.1599,1393.4198
2,242.74808,288.63898,1441.8928
3,464.59982,271.68085,1344.9468
4,191.2046,182.0773,1209.4843
5,482.30646,85.27516,1272.4933
6,88.889984,165.79158,891.71094
7,289.77954,209.57861,1290.313
8,331.4813,97.71952,1374.5471
9,241.18274,-79.51492,1385.4358
10,377.39453,-89.926834,1325.9131
11,210.1442,-388.44653,1414.2512
12,404.28928,-442.0338,1282.8059
13,255.83531,-774.1094,1475.9484
14,392.56415,-770.3784,1378.0162
0,352.32288,429.13638,1403.814
1,363.1004,279.5387,1374.389
2,256.97238,292.79388,1427.2991
3,469.22842,266.2835,1321.479
4,193.2446,163.52292,1210.833
5,485.40988,94.493225,1264.7113
6,81.74175,145.66008,892.3827
7,264.13348,154.35675,1299.5768
8,336.88766,100.9857,1366.5426
9,242.81316,-69.091484,1392.5286
10,378.5367,-86.0431,1324.8638
11,226.5592,-379.70294,1423.4329
12,399.06696,-439.05576,1285.8583
13,251.63449,-770.23596,1466.8708
14,395.91434,-768.5543,1377.6919
0,355.79788,429.65378,1402.1327
